loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbeccen,ra_str,ra,dec_str,dec,st_dist,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,pl_mnum,st_lum
3658,Kepler-972,Kepler-972 b,1,7.03932553,,19h43m18.89s,295.828703,+43d25m31.8s,43.425495,1304.00,6146.00,1.15,1.22,,4.650,2016,0,
3659,Kepler-973,Kepler-973 b,1,49.60773310,,19h20m39.66s,290.165258,+49d55m25.9s,49.923862,297.00,5213.00,0.86,0.78,,1.960,2016,0,
3660,Kepler-974,Kepler-974 b,1,4.19449651,,19h00m03.14s,285.013102,+40d13m14.7s,40.220753,121.00,3687.00,0.52,0.50,,1.570,2016,0,
3661,Kepler-975,Kepler-975 b,1,1.97034246,,19h22m11.65s,290.548550,+38d29m43.0s,38.495275,404.00,4897.00,0.80,0.75,,1.480,2016,0,
3662,Kepler-976,Kepler-976 b,1,105.95641480,,19h19m28.71s,289.869641,+46d43m46.9s,46.729706,1020.00,5232.00,0.87,0.83,,3.960,2016,0,
3663,Kepler-977,Kepler-977 b,1,26.85328322,,19h26m03.89s,291.516210,+42d14m53.5s,42.248196,664.00,5315.00,0.87,0.83,,2.620,2016,0,
3664,Kepler-978,Kepler-978 b,1,49.62215090,,19h06m50.57s,286.710723,+43d02m36.4s,43.043453,624.00,6002.00,1.07,1.09,,2.990,2016,0,
3665,Kepler-979,Kepler-979 b,1,8.08801350,,20h01m29.11s,300.371281,+46d24m29.8s,46.408276,606.00,5310.00,0.87,0.83,,2.720,2016,0,
3666,Kepler-98,Kepler-98 b,1,1.54168000,,19h02m38.80s,285.661662,+37d57m52.2s,37.964506,353.87,5539.00,0.99,1.11,3.55000,1.990,2014,0,
3667,Kepler-980,Kepler-980 b,1,11.55102504,,19h38m27.12s,294.613008,+45d03m36.6s,45.060169,804.00,5935.00,1.05,1.06,,2.670,2016,0,
3668,Kepler-981,Kepler-981 b,1,4.46975774,,19h16m59.74s,289.248907,+47d39m00.4s,47.650101,913.00,5718.00,0.98,0.96,,2.310,2016,0,
3669,Kepler-982,Kepler-982 b,1,15.77382210,,19h13m40.24s,288.417680,+46d35m25.5s,46.590427,702.00,6139.00,1.16,1.29,,2.250,2016,0,
3670,Kepler-983,Kepler-983 b,1,60.08550820,,19h00m24.97s,285.104060,+45d00m29.4s,45.008167,655.00,6052.00,1.13,1.08,,2.360,2016,0,
3671,Kepler-984,Kepler-984 b,1,43.03422720,,19h47m50.13s,296.958868,+46d23m38.9s,46.394127,461.00,5610.00,0.96,0.93,,2.120,2016,0,
3672,Kepler-985,Kepler-985 b,1,116.33190100,,19h20m34.63s,290.144308,+44d02m59.8s,44.049953,741.00,5434.00,0.91,0.85,,2.980,2016,0,
3673,Kepler-986,Kepler-986 b,1,56.43499380,,19h32m22.56s,293.094007,+42d53m47.2s,42.896431,563.00,5642.00,0.96,0.98,,2.360,2016,0,
3674,Kepler-987,Kepler-987 b,1,105.30331480,,19h17m38.66s,289.411070,+46d07m51.1s,46.130848,936.00,5637.00,0.97,0.91,,3.260,2016,0,
3675,Kepler-988,Kepler-988 b,1,17.76080053,,19h22m50.01s,290.708386,+42d14m14.1s,42.237251,248.00,4005.00,0.55,0.53,,2.070,2016,0,
3676,Kepler-989,Kepler-989 b,1,7.96431535,,18h46m19.90s,281.582909,+47d14m01.1s,47.233631,484.00,5074.00,0.82,0.78,,2.210,2016,0,
3677,Kepler-99,Kepler-99 b,1,4.60358000,,19h49m24.96s,297.354004,+41d18m00.2s,41.300049,209.63,4782.00,0.79,0.73,6.15000,1.480,2014,0,
3678,Kepler-990,Kepler-990 b,2,9.91723428,,19h51m45.17s,297.938209,+46d52m53.0s,46.881393,933.00,5948.00,1.05,1.08,,2.600,2016,0,
3679,Kepler-990,Kepler-990 c,2,0.53835431,,19h51m45.17s,297.938209,+46d52m53.0s,46.881393,933.00,5948.00,1.05,1.08,,1.530,2016,0,
